feature,importance
grade,0.36307672045993405
sqft_living,0.31348067276211505
yr_built,0.12091830499451654
sqft_lot,0.07676814843334949
bathrooms,0.039668697977781324
waterfront,0.026516329457073006
view,0.02271700890481123
bedrooms,0.014863617589485375
condition,0.012007167789762671
floors,0.009983331631171256
